Value descriptions,,
Variable,Value_eng,Value_chi
Yr,1991,1991
Yr,1996,1996
Yr,2001,2001
Yr,2006,2006
Yr,2011,2011
Yr,2016,2016
Yr,2021,2021
Age_brides,16 – 19,16 – 19
Age_brides,20 – 24,20 – 24
Age_brides,25 – 29,25 – 29
Age_brides,30 – 34,30 – 34
Age_brides,35 – 39,35 – 39
Age_brides,40+,40+
Age_brides,Total,總計
Age_bgrooms,16 – 19,16 – 19
Age_bgrooms,20 – 24,20 – 24
Age_bgrooms,25 – 29,25 – 29
Age_bgrooms,30 – 34,30 – 34
Age_bgrooms,35 – 39,35 – 39
Age_bgrooms,40+,40+
Age_bgrooms,Total,總計
