Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Age_gp,Age group,年齡組別
live_births_w,Number of live births per 1 000 women,每千名女性的活產嬰兒數目
Index_rate_w,Index of rate (women),比率指數 (女性)
