Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Sex,Sex,性別
Never_marri_age_gp,Never married age group,未結婚的年齡組別
No_of_persons,Number of persons,人數
Sex_ratios,sex ratios,性別比率
