Age_diff,Yr_of_age_diff,Yr,No_of_1st_marri
Bridegroom older than bride,4,2005,2016
Bridegroom older than bride,5,2005,1590
Bridegroom older than bride,6,2005,1252
Bridegroom older than bride,7,2005,1103
Bridegroom older than bride,8,2005,907
Bridegroom older than bride,8+,2005,4353
Bridegroom older than bride,Same age,2006,4236
Bridegroom older than bride,1,2006,4037
Bridegroom older than bride,2,2006,3418
Bridegroom older than bride,3,2006,2868
Bridegroom older than bride,4,2006,2370
Bridegroom older than bride,5,2006,1933
Bridegroom older than bride,6,2006,1508
Bridegroom older than bride,7,2006,1294
Bridegroom older than bride,8,2006,1056
Bridegroom older than bride,8+,2006,4775
Bridegroom older than bride,Same age,2007,4325
Bridegroom older than bride,1,2007,4040
Bridegroom older than bride,2,2007,3296
Bridegroom older than bride,3,2007,2736
Bridegroom older than bride,4,2007,2327
Bridegroom older than bride,5,2007,1830
Bridegroom older than bride,6,2007,1458
Bridegroom older than bride,7,2007,1225
Bridegroom older than bride,8,2007,1037
Bridegroom older than bride,8+,2007,4474
Bridegroom older than bride,Same age,2008,4658
Bridegroom older than bride,1,2008,4204
Bridegroom older than bride,2,2008,3412
Bridegroom older than bride,3,2008,2833
Bridegroom older than bride,4,2008,2343
Bridegroom older than bride,5,2008,1904
Bridegroom older than bride,6,2008,1428
Bridegroom older than bride,7,2008,1158
Bridegroom older than bride,8,2008,923
Bridegroom older than bride,8+,2008,4291
Bridegroom older than bride,Same age,2009,5333
Bridegroom older than bride,1,2009,4584
Bridegroom older than bride,2,2009,3867
Bridegroom older than bride,3,2009,2981
Bridegroom older than bride,4,2009,2433
Bridegroom older than bride,5,2009,1950
Bridegroom older than bride,6,2009,1453
Bridegroom older than bride,7,2009,1222
Bridegroom older than bride,8,2009,993
Bridegroom older than bride,8+,2009,4353
Bridegroom older than bride,Same age,2010,5334
Bridegroom older than bride,1,2010,4758
Bridegroom older than bride,2,2010,3769
Bridegroom older than bride,3,2010,3052
Bridegroom older than bride,4,2010,2550
Bridegroom older than bride,5,2010,1903
Bridegroom older than bride,6,2010,1488
Bridegroom older than bride,7,2010,1241
Bridegroom older than bride,8,2010,1053
Bridegroom older than bride,8+,2010,4213
Bridegroom older than bride,Same age,2011,6013
Bridegroom older than bride,1,2011,5504
Bridegroom older than bride,2,2011,4331
Bridegroom older than bride,3,2011,3431
Bridegroom older than bride,4,2011,2804
Bridegroom older than bride,5,2011,2188
Bridegroom older than bride,6,2011,1611
Bridegroom older than bride,7,2011,1356
Bridegroom older than bride,8,2011,1094
Bridegroom older than bride,8+,2011,4344
Bridegroom older than bride,Same age,2012,6395
Bridegroom older than bride,1,2012,5654
Bridegroom older than bride,2,2012,4519
Bridegroom older than bride,3,2012,3375
Bridegroom older than bride,4,2012,2846
Bridegroom older than bride,5,2012,2284
Bridegroom older than bride,6,2012,1621
Bridegroom older than bride,7,2012,1370
Bridegroom older than bride,8,2012,1109
Bridegroom older than bride,8+,2012,4147
Bridegroom older than bride,Same age,2013,5505
Bridegroom older than bride,1,2013,4898
Bridegroom older than bride,2,2013,3941
Bridegroom older than bride,3,2013,3082
Bridegroom older than bride,4,2013,2496
Bridegroom older than bride,5,2013,1990
Bridegroom older than bride,6,2013,1453
Bridegroom older than bride,7,2013,1159
Bridegroom older than bride,8,2013,902
Bridegroom older than bride,8+,2013,3491
Bridegroom older than bride,Same age,2014,5640
Bridegroom older than bride,1,2014,5175
Bridegroom older than bride,2,2014,3987
Bridegroom older than bride,3,2014,3259
Bridegroom older than bride,4,2014,2657
Bridegroom older than bride,5,2014,1949
Bridegroom older than bride,6,2014,1506
Bridegroom older than bride,7,2014,1252
Bridegroom older than bride,8,2014,1002
Bridegroom older than bride,8+,2014,3447
Bridegroom older than bride,Same age,2015,5234
Bridegroom older than bride,1,2015,4695
Bridegroom older than bride,2,2015,3675
Bridegroom older than bride,3,2015,3008
Bridegroom older than bride,4,2015,2396
Bridegroom older than bride,5,2015,1849
Bridegroom older than bride,6,2015,1377
Bridegroom older than bride,7,2015,1144
Bridegroom older than bride,8,2015,861
Bridegroom older than bride,8+,2015,2973
Bridegroom older than bride,Same age,2016,4911
Bridegroom older than bride,1,2016,4445
Bridegroom older than bride,2,2016,3446
Bridegroom older than bride,3,2016,2933
Bridegroom older than bride,4,2016,2324
Bridegroom older than bride,5,2016,1833
Bridegroom older than bride,6,2016,1278
Bridegroom older than bride,7,2016,1088
Bridegroom older than bride,8,2016,860
Bridegroom older than bride,8+,2016,2763
Bridegroom older than bride,Same age,2017,5251
Bridegroom older than bride,1,2017,4743
Bridegroom older than bride,2,2017,3795
Bridegroom older than bride,3,2017,2943
Bridegroom older than bride,4,2017,2405
Bridegroom older than bride,5,2017,1890
Bridegroom older than bride,6,2017,1376
Bridegroom older than bride,7,2017,1064
Bridegroom older than bride,8,2017,800
Bridegroom older than bride,8+,2017,2781
Bridegroom older than bride,Same age,2018,4910
Bridegroom older than bride,1,2018,4490
Bridegroom older than bride,2,2018,3545
Bridegroom older than bride,3,2018,2689
Bridegroom older than bride,4,2018,2285
Bridegroom older than bride,5,2018,1707
Bridegroom older than bride,6,2018,1260
Bridegroom older than bride,7,2018,975
Bridegroom older than bride,8,2018,796
Bridegroom older than bride,8+,2018,2359
Bridegroom older than bride,Same age,2019,4480
Bridegroom older than bride,1,2019,3878
Bridegroom older than bride,2,2019,3138
Bridegroom older than bride,3,2019,2539
Bridegroom older than bride,4,2019,2029
Bridegroom older than bride,5,2019,1504
Bridegroom older than bride,6,2019,1104
Bridegroom older than bride,7,2019,879
Bridegroom older than bride,8,2019,670
Bridegroom older than bride,8+,2019,2053
Bridegroom older than bride,Same age,2020,3548
Bridegroom older than bride,1,2020,3150
Bridegroom older than bride,2,2020,2490
Bridegroom older than bride,3,2020,1898
Bridegroom older than bride,4,2020,1501
Bridegroom older than bride,5,2020,1070
Bridegroom older than bride,6,2020,828
Bridegroom older than bride,7,2020,583
Bridegroom older than bride,8,2020,452
Bridegroom older than bride,8+,2020,1152
Bridegroom older than bride,Same age,2021,3305
Bridegroom older than bride,1,2021,2959
Bridegroom older than bride,2,2021,2307
Bridegroom older than bride,3,2021,1802
Bridegroom older than bride,4,2021,1325
Bridegroom older than bride,5,2021,1052
Bridegroom older than bride,6,2021,795
Bridegroom older than bride,7,2021,556
Bridegroom older than bride,8,2021,421
Bridegroom older than bride,8+,2021,1112
Bridegroom younger than bride,Same age,1991,3636
Bridegroom younger than bride,1,1991,2153
Bridegroom younger than bride,2,1991,1280
Bridegroom younger than bride,3,1991,746
Bridegroom younger than bride,4,1991,424
Bridegroom younger than bride,5,1991,270
Bridegroom younger than bride,6,1991,167
Bridegroom younger than bride,7,1991,130
Bridegroom younger than bride,8,1991,58
Bridegroom younger than bride,8+,1991,152
Bridegroom younger than bride,Same age,1992,3927
Bridegroom younger than bride,1,1992,2329
Bridegroom younger than bride,2,1992,1368
Bridegroom younger than bride,3,1992,762
Bridegroom younger than bride,4,1992,465
Bridegroom younger than bride,5,1992,281
Bridegroom younger than bride,6,1992,172
Bridegroom younger than bride,7,1992,112
Bridegroom younger than bride,8,1992,66
Bridegroom younger than bride,8+,1992,154
Bridegroom younger than bride,Same age,1993,3584
Bridegroom younger than bride,1,1993,2210
Bridegroom younger than bride,2,1993,1187
Bridegroom younger than bride,3,1993,724
Bridegroom younger than bride,4,1993,420
Bridegroom younger than bride,5,1993,238
Bridegroom younger than bride,6,1993,171
Bridegroom younger than bride,7,1993,98
Bridegroom younger than bride,8,1993,70
Bridegroom younger than bride,8+,1993,135
Bridegroom younger than bride,Same age,1994,3315
Bridegroom younger than bride,1,1994,1973
Bridegroom younger than bride,2,1994,1166
Bridegroom younger than bride,3,1994,696
Bridegroom younger than bride,4,1994,434
Bridegroom younger than bride,5,1994,266
Bridegroom younger than bride,6,1994,144
Bridegroom younger than bride,7,1994,107
Bridegroom younger than bride,8,1994,66
Bridegroom younger than bride,8+,1994,122
Bridegroom younger than bride,Same age,1995,3509
Bridegroom younger than bride,1,1995,2120
Bridegroom younger than bride,2,1995,1119
Bridegroom younger than bride,3,1995,656
Bridegroom younger than bride,4,1995,421
Bridegroom younger than bride,5,1995,283
Bridegroom younger than bride,6,1995,155
Bridegroom younger than bride,7,1995,91
Bridegroom younger than bride,8,1995,84
Bridegroom younger than bride,8+,1995,134
Bridegroom younger than bride,Same age,1996,3186
Bridegroom younger than bride,1,1996,2010
Bridegroom younger than bride,2,1996,1126
Bridegroom younger than bride,3,1996,659
Bridegroom younger than bride,4,1996,410
Bridegroom younger than bride,5,1996,246
Bridegroom younger than bride,6,1996,157
Bridegroom younger than bride,7,1996,101
Bridegroom younger than bride,8,1996,64
Bridegroom younger than bride,8+,1996,134
Bridegroom younger than bride,Same age,1997,3578
Bridegroom younger than bride,1,1997,2129
Bridegroom younger than bride,2,1997,1227
Bridegroom younger than bride,3,1997,708
Bridegroom younger than bride,4,1997,422
Bridegroom younger than bride,5,1997,238
Bridegroom younger than bride,6,1997,162
Bridegroom younger than bride,7,1997,104
Bridegroom younger than bride,8,1997,55
Bridegroom younger than bride,8+,1997,115
Bridegroom younger than bride,Same age,1998,2853
Bridegroom younger than bride,1,1998,1724
Bridegroom younger than bride,2,1998,984
Bridegroom younger than bride,3,1998,555
Bridegroom younger than bride,4,1998,365
Bridegroom younger than bride,5,1998,218
Bridegroom younger than bride,6,1998,140
Bridegroom younger than bride,7,1998,90
Bridegroom younger than bride,8,1998,66
Bridegroom younger than bride,8+,1998,126
Bridegroom younger than bride,Same age,1999,2964
Bridegroom younger than bride,1,1999,1742
Bridegroom younger than bride,2,1999,939
Bridegroom younger than bride,3,1999,545
Bridegroom younger than bride,4,1999,331
Bridegroom younger than bride,5,1999,202
Bridegroom younger than bride,6,1999,130
Bridegroom younger than bride,7,1999,87
Bridegroom younger than bride,8,1999,41
Bridegroom younger than bride,8+,1999,96
Bridegroom younger than bride,Same age,2000,2950
Bridegroom younger than bride,1,2000,1690
Bridegroom younger than bride,2,2000,907
Bridegroom younger than bride,3,2000,490
Bridegroom younger than bride,4,2000,299
Bridegroom younger than bride,5,2000,208
Bridegroom younger than bride,6,2000,127
Bridegroom younger than bride,7,2000,71
Bridegroom younger than bride,8,2000,58
Bridegroom younger than bride,8+,2000,103
Bridegroom younger than bride,Same age,2001,3157
Bridegroom younger than bride,1,2001,1781
Bridegroom younger than bride,2,2001,957
Bridegroom younger than bride,3,2001,595
Bridegroom younger than bride,4,2001,295
Bridegroom younger than bride,5,2001,206
Bridegroom younger than bride,6,2001,101
Bridegroom younger than bride,7,2001,89
Bridegroom younger than bride,8,2001,47
Bridegroom younger than bride,8+,2001,98
Bridegroom younger than bride,Same age,2002,2867
Bridegroom younger than bride,1,2002,1643
Bridegroom younger than bride,2,2002,889
Bridegroom younger than bride,3,2002,537
Bridegroom younger than bride,4,2002,310
Bridegroom younger than bride,5,2002,222
Bridegroom younger than bride,6,2002,114
Bridegroom younger than bride,7,2002,72
Bridegroom younger than bride,8,2002,60
Bridegroom younger than bride,8+,2002,102
Bridegroom younger than bride,Same age,2003,3216
Bridegroom younger than bride,1,2003,1801
Bridegroom younger than bride,2,2003,999
Bridegroom younger than bride,3,2003,548
Bridegroom younger than bride,4,2003,334
Bridegroom younger than bride,5,2003,201
Bridegroom younger than bride,6,2003,125
Bridegroom younger than bride,7,2003,77
Bridegroom younger than bride,8,2003,60
Bridegroom younger than bride,8+,2003,115
Bridegroom younger than bride,Same age,2004,3699
Bridegroom younger than bride,1,2004,2028
Bridegroom younger than bride,2,2004,1173
Bridegroom younger than bride,3,2004,633
Bridegroom younger than bride,4,2004,374
Bridegroom younger than bride,5,2004,248
Bridegroom younger than bride,6,2004,143
Bridegroom younger than bride,7,2004,74
Bridegroom younger than bride,8,2004,67
Bridegroom younger than bride,8+,2004,134
Bridegroom younger than bride,Same age,2005,3268
Bridegroom younger than bride,1,2005,1960
Bridegroom younger than bride,2,2005,1063
Bridegroom younger than bride,3,2005,647
Bridegroom younger than bride,4,2005,434
Bridegroom younger than bride,5,2005,257
Bridegroom younger than bride,6,2005,180
Bridegroom younger than bride,7,2005,101
Bridegroom younger than bride,8,2005,80
Bridegroom younger than bride,8+,2005,168
Bridegroom younger than bride,Same age,2006,4236
Bridegroom younger than bride,1,2006,2411
Bridegroom younger than bride,2,2006,1295
Bridegroom younger than bride,3,2006,785
Bridegroom younger than bride,4,2006,489
Bridegroom younger than bride,5,2006,291
Bridegroom younger than bride,6,2006,183
Bridegroom younger than bride,7,2006,123
Bridegroom younger than bride,8,2006,93
Bridegroom younger than bride,8+,2006,187
Bridegroom younger than bride,Same age,2007,4325
Bridegroom younger than bride,1,2007,2358
Bridegroom younger than bride,2,2007,1262
Bridegroom younger than bride,3,2007,729
Bridegroom younger than bride,4,2007,422
Bridegroom younger than bride,5,2007,269
Bridegroom younger than bride,6,2007,167
Bridegroom younger than bride,7,2007,116
Bridegroom younger than bride,8,2007,59
Bridegroom younger than bride,8+,2007,158
Bridegroom younger than bride,Same age,2008,4658
Bridegroom younger than bride,1,2008,2445
Bridegroom younger than bride,2,2008,1230
Bridegroom younger than bride,3,2008,718
Bridegroom younger than bride,4,2008,422
Bridegroom younger than bride,5,2008,282
Bridegroom younger than bride,6,2008,179
Bridegroom younger than bride,7,2008,122
Bridegroom younger than bride,8,2008,65
Bridegroom younger than bride,8+,2008,148
Bridegroom younger than bride,Same age,2009,5333
Bridegroom younger than bride,1,2009,2776
Bridegroom younger than bride,2,2009,1306
Bridegroom younger than bride,3,2009,792
Bridegroom younger than bride,4,2009,459
Bridegroom younger than bride,5,2009,305
Bridegroom younger than bride,6,2009,165
Bridegroom younger than bride,7,2009,125
Bridegroom younger than bride,8,2009,89
Bridegroom younger than bride,8+,2009,152
Bridegroom younger than bride,Same age,2010,5334
Bridegroom younger than bride,1,2010,2806
Bridegroom younger than bride,2,2010,1367
Bridegroom younger than bride,3,2010,838
Bridegroom younger than bride,4,2010,556
Bridegroom younger than bride,5,2010,281
Bridegroom younger than bride,6,2010,198
Bridegroom younger than bride,7,2010,141
Bridegroom younger than bride,8,2010,97
Bridegroom younger than bride,8+,2010,181
Bridegroom younger than bride,Same age,2011,6013
Bridegroom younger than bride,1,2011,3255
Bridegroom younger than bride,2,2011,1670
Bridegroom younger than bride,3,2011,907
Bridegroom younger than bride,4,2011,535
Bridegroom younger than bride,5,2011,355
Bridegroom younger than bride,6,2011,192
Bridegroom younger than bride,7,2011,130
Bridegroom younger than bride,8,2011,82
Bridegroom younger than bride,8+,2011,177
Bridegroom younger than bride,Same age,2012,6395
Bridegroom younger than bride,1,2012,3277
Bridegroom younger than bride,2,2012,1707
Bridegroom younger than bride,3,2012,929
Bridegroom younger than bride,4,2012,583
Bridegroom younger than bride,5,2012,348
Bridegroom younger than bride,6,2012,237
Bridegroom younger than bride,7,2012,144
Bridegroom younger than bride,8,2012,92
Bridegroom younger than bride,8+,2012,204
Bridegroom younger than bride,Same age,2013,5505
Bridegroom younger than bride,1,2013,2958
Bridegroom younger than bride,2,2013,1533
Bridegroom younger than bride,3,2013,805
Bridegroom younger than bride,4,2013,520
Bridegroom younger than bride,5,2013,316
Bridegroom younger than bride,6,2013,199
Bridegroom younger than bride,7,2013,135
Bridegroom younger than bride,8,2013,90
Bridegroom younger than bride,8+,2013,230
Bridegroom younger than bride,Same age,2014,5640
Bridegroom younger than bride,1,2014,3185
Bridegroom younger than bride,2,2014,1662
Bridegroom younger than bride,3,2014,952
Bridegroom younger than bride,4,2014,537
Bridegroom younger than bride,5,2014,340
Bridegroom younger than bride,6,2014,219
Bridegroom younger than bride,7,2014,138
Bridegroom younger than bride,8,2014,89
Bridegroom younger than bride,8+,2014,221
Bridegroom younger than bride,Same age,2015,5234
Bridegroom younger than bride,1,2015,2930
Bridegroom younger than bride,2,2015,1569
Bridegroom younger than bride,3,2015,846
Bridegroom younger than bride,4,2015,530
Bridegroom younger than bride,5,2015,307
Bridegroom younger than bride,6,2015,215
Bridegroom younger than bride,7,2015,150
Bridegroom younger than bride,8,2015,90
Bridegroom younger than bride,8+,2015,197
Bridegroom younger than bride,Same age,2016,4911
Bridegroom younger than bride,1,2016,2792
Bridegroom younger than bride,2,2016,1489
Bridegroom younger than bride,3,2016,921
Bridegroom younger than bride,4,2016,537
Bridegroom younger than bride,5,2016,317
Bridegroom younger than bride,6,2016,227
Bridegroom younger than bride,7,2016,143
Bridegroom younger than bride,8,2016,92
Bridegroom younger than bride,8+,2016,274
Bridegroom younger than bride,Same age,2017,5251
Bridegroom younger than bride,1,2017,3012
Bridegroom younger than bride,2,2017,1595
Bridegroom younger than bride,3,2017,963
Bridegroom younger than bride,4,2017,563
Bridegroom younger than bride,5,2017,359
Bridegroom younger than bride,6,2017,245
Bridegroom younger than bride,7,2017,141
Bridegroom younger than bride,8,2017,95
Bridegroom younger than bride,8+,2017,242
Bridegroom younger than bride,Same age,2018,4910
Bridegroom younger than bride,1,2018,2827
Bridegroom younger than bride,2,2018,1525
Bridegroom younger than bride,3,2018,843
Bridegroom younger than bride,4,2018,545
Bridegroom younger than bride,5,2018,351
Bridegroom younger than bride,6,2018,203
Bridegroom younger than bride,7,2018,148
Bridegroom younger than bride,8,2018,101
Bridegroom younger than bride,8+,2018,269
Bridegroom younger than bride,Same age,2019,4480
Bridegroom younger than bride,1,2019,2562
Bridegroom younger than bride,2,2019,1335
Bridegroom younger than bride,3,2019,762
Bridegroom younger than bride,4,2019,486
Bridegroom younger than bride,5,2019,320
Bridegroom younger than bride,6,2019,205
Bridegroom younger than bride,7,2019,150
Bridegroom younger than bride,8,2019,87
Bridegroom younger than bride,8+,2019,217
Bridegroom younger than bride,Same age,2020,3548
Bridegroom younger than bride,1,2020,1987
Bridegroom younger than bride,2,2020,1095
Bridegroom younger than bride,3,2020,555
Bridegroom younger than bride,4,2020,334
Bridegroom younger than bride,5,2020,198
Bridegroom younger than bride,6,2020,162
Bridegroom younger than bride,7,2020,95
Bridegroom younger than bride,8,2020,66
Bridegroom younger than bride,8+,2020,160
Bridegroom younger than bride,Same age,2021,3305
Bridegroom younger than bride,1,2021,1905
Bridegroom younger than bride,2,2021,1032
Bridegroom younger than bride,3,2021,534
Bridegroom younger than bride,4,2021,326
Bridegroom younger than bride,5,2021,259
Bridegroom younger than bride,6,2021,151
Bridegroom younger than bride,7,2021,98
Bridegroom younger than bride,8,2021,61
Bridegroom younger than bride,8+,2021,153
