Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Pre_martial_s,Previous marital status,結婚前的婚姻狀況
Age_gp,Age group,年齡組別
Marriage_rate,Marriage rate (§ Less than 0.05),結婚率 (§少於0.05)
