Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Pre_marital_s1,Previous marital status1,結婚前的婚姻狀況1
Pre_marital_s2,Previous marital status2,結婚前的婚姻狀況2
Age_gp,Age group,年齡組別
No_of_marri,Number of marriages,結婚數目
