Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Sex,Sex,性別
Age_gp,Age group,年齡組別
Mor_rate,Mortality rates (Number of deaths per 1 000 population),死亡率（每千名人口的死亡人數）
