Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Sex,Sex,性別
Economy,Economy,經濟體
Stat_var,Statistical variable,統計變數
Exp_of_life_birth,Expectation of life at birth,出生時平均預期壽命
