Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Pre_marital_stat_g,Previous marital status of bridegrooms,新郎結婚前的婚姻狀況
Pre_marital_stat_b,Previous marital status of brides,新娘結婚前的婚姻狀況
No_of_marri,Number of marriages,結婚數目
