Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Economy,Economy,經濟體
Stat_var,Statistical variable,統計變數
Infant_mortality_r,Infant mortality rates (Number of deaths per 1 000 live births),嬰兒死亡率（每千名活產嬰兒的死亡數目）
