Yr,Age_diff_bach_spin,Per_marri_age_diff,Median_age_diff
2011,Bridegrooms younger than brides: 1-4,15.9,-
2011,Bridegrooms younger than brides: 5+,2.3,-
2011,Median of age difference between bachelors and spinsters when married (year),-,2
2012,Bridegrooms older than brides: 5+,25.8,-
2012,Bridegrooms older than brides: 1-4,40.1,-
2012,Bridegrooms and brides of same age,15.7,-
2012,Bridegrooms younger than brides: 1-4,15.9,-
2012,Bridegrooms younger than brides: 5+,2.5,-
2012,Median of age difference between bachelors and spinsters when married (year),-,2
2013,Bridegrooms older than brides: 5+,25.2,-
2013,Bridegrooms older than brides: 1-4,40.4,-
2013,Bridegrooms and brides of same age,15.4,-
2013,Bridegrooms younger than brides: 1-4,16.3,-
2013,Bridegrooms younger than brides: 5+,2.7,-
2013,Median of age difference between bachelors and spinsters when married (year),-,2
2014,Bridegrooms older than brides: 5+,24.6,-
2014,Bridegrooms older than brides: 1-4,40.5,-
2014,Bridegrooms and brides of same age,15.2,-
2014,Bridegrooms younger than brides: 1-4,17,-
2014,Bridegrooms younger than brides: 5+,2.7,-
2014,Median of age difference between bachelors and spinsters when married (year),-,2
2015,Bridegrooms older than brides: 5+,24.1,-
2015,Bridegrooms older than brides: 1-4,40.5,-
2015,Bridegrooms and brides of same age,15.4,-
2015,Bridegrooms younger than brides: 1-4,17.3,-
2015,Bridegrooms younger than brides: 5+,2.8,-
2015,Median of age difference between bachelors and spinsters when married (year),-,2
2016,Bridegrooms older than brides: 5+,23.9,-
2016,Bridegrooms older than brides: 1-4,40.2,-
2016,Bridegrooms and brides of same age,15,-
2016,Bridegrooms younger than brides: 1-4,17.6,-
2016,Bridegrooms younger than brides: 5+,3.2,-
2016,Median of age difference between bachelors and spinsters when married (year),-,2
2017,Bridegrooms older than brides: 5+,23.1,-
2017,Bridegrooms older than brides: 1-4,40.5,-
2017,Bridegrooms and brides of same age,15.3,-
2017,Bridegrooms younger than brides: 1-4,17.9,-
2017,Bridegrooms younger than brides: 5+,3.2,-
2017,Median of age difference between bachelors and spinsters when married (year),-,1
2018,Bridegrooms older than brides: 5+,22.3,-
2018,Bridegrooms older than brides: 1-4,40.9,-
2018,Bridegrooms and brides of same age,15.4,-
2018,Bridegrooms younger than brides: 1-4,18,-
2018,Bridegrooms younger than brides: 5+,3.4,-
2018,Median of age difference between bachelors and spinsters when married (year),-,1
2019,Bridegrooms older than brides: 5+,21.9,-
2019,Bridegrooms older than brides: 1-4,40.8,-
2019,Bridegrooms and brides of same age,15.8,-
2019,Bridegrooms younger than brides: 1-4,18.1,-
2019,Bridegrooms younger than brides: 5+,3.4,-
2019,Median of age difference between bachelors and spinsters when married (year),-,1
2020,Bridegrooms older than brides: 5+,19.2,-
2020,Bridegrooms older than brides: 1-4,42.4,-
2020,Bridegrooms and brides of same age,16.6,-
2020,Bridegrooms younger than brides: 1-4,18.6,-
2020,Bridegrooms younger than brides: 5+,3.2,-
2020,Median of age difference between bachelors and spinsters when married (year),-,1
2021,Bridegrooms older than brides: 5+,19.5,-
2021,Bridegrooms older than brides: 1-4,41.6,-
2021,Bridegrooms and brides of same age,16.4,-
2021,Bridegrooms younger than brides: 1-4,18.8,-
2021,Bridegrooms younger than brides: 5+,3.6,-
2021,Median of age difference between bachelors and spinsters when married (year),-,1
