Value descriptions,,
Variable,Value_eng,Value_chi
Ref_period,2001,2001
Ref_period,2002,2002
Ref_period,2003,2003
Ref_period,2004,2004
Ref_period,2005,2005
Ref_period,2006,2006
Ref_period,2007,2007
Ref_period,2008,2008
Ref_period,2009,2009
Ref_period,2010,2010
Ref_period,2011,2011
Ref_period,2012,2012
Ref_period,2013,2013
Ref_period,2014,2014
Ref_period,2015,2015
Ref_period,2016,2016
Ref_period,2017,2017
Ref_period,2018,2018
Ref_period,2019,2019
Ref_period,2020,2020
Ref_period,2021,2021
Mainland_w_spouses,Whose spouses are Hong Kong Permanent Residents,其配偶為香港永久性居民
Mainland_w_spouses,Whose spouses are not Hong Kong Permanent Residents,其配偶為非香港永久性居民
Mainland_w_spouses,Others,其他
Mainland_w_spouses,Sub‑total,小計
