Value descriptions,,
Variable,Value_eng,Value_chi
Yr,1991,1991
Yr,1996,1996
Yr,2001,2001
Yr,2006,2006
Yr,2011,2011
Yr,2016,2016
Yr,2021,2021
Domestic_helpers,Including foreign domestic helpers,包括外籍家庭傭工
Domestic_helpers,Excluding foreign domestic helpers,不包括外籍家庭傭工
Type_dep_ratios,Child dependency ratio,少年兒童撫養比率
Type_dep_ratios,Elderly dependency ratio,老年撫養比率
Type_dep_ratios,Overall dependency ratio,總撫養比率
