Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Age_brides,Age of brides,新娘年齡
Age_bgrooms,Age of bridegrooms,新郎年齡
Per_first_marri,Percentage of age combinations at first marriage (§ Less than 0.05),初婚年齡組合百分比 (§ 少於0.05)
