Yr,Age_gp,Sex,No_of_deaths
2011,75 – 79,Male,3780
2011,75 – 79,Female,2218
2011,75 – 79,Both sexes,5998
2011,80 – 84,Male,4310
2011,80 – 84,Female,3196
2011,80 – 84,Both sexes,7506
2011,85+,Male,5275
2011,85+,Female,8117
2011,85+,Both sexes,13392
2011,Total,Male,23709
2011,Total,Female,18637
2011,Total,Both sexes,42346
2012,0,Male,69
2012,0,Female,68
2012,0,Both sexes,137
2012,1 – 4,Male,16
2012,1 – 4,Female,17
2012,1 – 4,Both sexes,33
2012,5 – 9,Male,15
2012,5 – 9,Female,15
2012,5 – 9,Both sexes,30
2012,10 – 14,Male,20
2012,10 – 14,Female,11
2012,10 – 14,Both sexes,31
2012,15 – 19,Male,48
2012,15 – 19,Female,15
2012,15 – 19,Both sexes,63
2012,20 – 24,Male,99
2012,20 – 24,Female,36
2012,20 – 24,Both sexes,135
2012,25 – 29,Male,97
2012,25 – 29,Female,51
2012,25 – 29,Both sexes,148
2012,30 – 34,Male,142
2012,30 – 34,Female,93
2012,30 – 34,Both sexes,235
2012,35 – 39,Male,211
2012,35 – 39,Female,156
2012,35 – 39,Both sexes,367
2012,40 – 44,Male,344
2012,40 – 44,Female,268
2012,40 – 44,Both sexes,612
2012,45 – 49,Male,578
2012,45 – 49,Female,408
2012,45 – 49,Both sexes,986
2012,50 – 54,Male,999
2012,50 – 54,Female,574
2012,50 – 54,Both sexes,1573
2012,55 – 59,Male,1424
2012,55 – 59,Female,761
2012,55 – 59,Both sexes,2185
2012,60 – 64,Male,1822
2012,60 – 64,Female,798
2012,60 – 64,Both sexes,2620
2012,65 – 69,Male,1824
2012,65 – 69,Female,802
2012,65 – 69,Both sexes,2626
2012,70 – 74,Male,2596
2012,70 – 74,Female,1148
2012,70 – 74,Both sexes,3744
2012,75 – 79,Male,4000
2012,75 – 79,Female,2177
2012,75 – 79,Both sexes,6177
2012,80 – 84,Male,4365
2012,80 – 84,Female,3353
2012,80 – 84,Both sexes,7718
2012,85+,Male,5814
2012,85+,Female,8683
2012,85+,Both sexes,14497
2012,Total,Male,24483
2012,Total,Female,19434
2012,Total,Both sexes,43917
2013,0,Male,65
2013,0,Female,35
2013,0,Both sexes,100
2013,1 – 4,Male,19
2013,1 – 4,Female,21
2013,1 – 4,Both sexes,40
2013,5 – 9,Male,17
2013,5 – 9,Female,13
2013,5 – 9,Both sexes,30
2013,10 – 14,Male,17
2013,10 – 14,Female,11
2013,10 – 14,Both sexes,28
2013,15 – 19,Male,35
2013,15 – 19,Female,26
2013,15 – 19,Both sexes,61
2013,20 – 24,Male,69
2013,20 – 24,Female,37
2013,20 – 24,Both sexes,106
2013,25 – 29,Male,96
2013,25 – 29,Female,66
2013,25 – 29,Both sexes,162
2013,30 – 34,Male,153
2013,30 – 34,Female,101
2013,30 – 34,Both sexes,254
2013,35 – 39,Male,216
2013,35 – 39,Female,137
2013,35 – 39,Both sexes,353
2013,40 – 44,Male,285
2013,40 – 44,Female,242
2013,40 – 44,Both sexes,527
2013,45 – 49,Male,551
2013,45 – 49,Female,379
2013,45 – 49,Both sexes,930
2013,50 – 54,Male,961
2013,50 – 54,Female,589
2013,50 – 54,Both sexes,1550
2013,55 – 59,Male,1461
2013,55 – 59,Female,793
2013,55 – 59,Both sexes,2254
2013,60 – 64,Male,1841
2013,60 – 64,Female,867
2013,60 – 64,Both sexes,2708
2013,65 – 69,Male,1876
2013,65 – 69,Female,850
2013,65 – 69,Both sexes,2726
2013,70 – 74,Male,2467
2013,70 – 74,Female,1087
2013,70 – 74,Both sexes,3554
2013,75 – 79,Male,3626
2013,75 – 79,Female,2021
2013,75 – 79,Both sexes,5647
2013,80 – 84,Male,4270
2013,80 – 84,Female,3240
2013,80 – 84,Both sexes,7510
2013,85+,Male,6116
2013,85+,Female,8741
2013,85+,Both sexes,14857
2013,Total,Male,24141
2013,Total,Female,19256
2013,Total,Both sexes,43397
2014,0,Male,44
2014,0,Female,59
2014,0,Both sexes,103
2014,1 – 4,Male,21
2014,1 – 4,Female,22
2014,1 – 4,Both sexes,43
2014,5 – 9,Male,11
2014,5 – 9,Female,9
2014,5 – 9,Both sexes,20
2014,10 – 14,Male,12
2014,10 – 14,Female,15
2014,10 – 14,Both sexes,27
2014,15 – 19,Male,41
2014,15 – 19,Female,21
2014,15 – 19,Both sexes,62
2014,20 – 24,Male,62
2014,20 – 24,Female,31
2014,20 – 24,Both sexes,93
2014,25 – 29,Male,85
2014,25 – 29,Female,48
2014,25 – 29,Both sexes,133
2014,30 – 34,Male,127
2014,30 – 34,Female,102
2014,30 – 34,Both sexes,229
2014,35 – 39,Male,207
2014,35 – 39,Female,120
2014,35 – 39,Both sexes,327
2014,40 – 44,Male,330
2014,40 – 44,Female,207
2014,40 – 44,Both sexes,537
2014,45 – 49,Male,527
2014,45 – 49,Female,358
2014,45 – 49,Both sexes,885
2014,50 – 54,Male,960
2014,50 – 54,Female,573
2014,50 – 54,Both sexes,1533
2014,55 – 59,Male,1524
2014,55 – 59,Female,804
2014,55 – 59,Both sexes,2328
2014,60 – 64,Male,1890
2014,60 – 64,Female,904
2014,60 – 64,Both sexes,2794
2014,65 – 69,Male,1982
2014,65 – 69,Female,940
2014,65 – 69,Both sexes,2922
2014,70 – 74,Male,2451
2014,70 – 74,Female,1014
2014,70 – 74,Both sexes,3465
2014,75 – 79,Male,3579
2014,75 – 79,Female,2061
2014,75 – 79,Both sexes,5640
2014,80 – 84,Male,4601
2014,80 – 84,Female,3364
2014,80 – 84,Both sexes,7965
2014,85+,Male,6493
2014,85+,Female,9488
2014,85+,Both sexes,15981
2014,Total,Male,24947
2014,Total,Female,20140
2014,Total,Both sexes,45087
2015,0,Male,51
2015,0,Female,34
2015,0,Both sexes,85
2015,1 – 4,Male,19
2015,1 – 4,Female,9
2015,1 – 4,Both sexes,28
2015,5 – 9,Male,10
2015,5 – 9,Female,10
2015,5 – 9,Both sexes,20
2015,10 – 14,Male,12
2015,10 – 14,Female,9
2015,10 – 14,Both sexes,21
2015,15 – 19,Male,21
2015,15 – 19,Female,26
2015,15 – 19,Both sexes,47
2015,20 – 24,Male,84
2015,20 – 24,Female,32
2015,20 – 24,Both sexes,116
2015,25 – 29,Male,74
2015,25 – 29,Female,50
2015,25 – 29,Both sexes,124
2015,30 – 34,Male,124
2015,30 – 34,Female,92
2015,30 – 34,Both sexes,216
2015,35 – 39,Male,172
2015,35 – 39,Female,138
2015,35 – 39,Both sexes,310
2015,40 – 44,Male,360
2015,40 – 44,Female,260
2015,40 – 44,Both sexes,620
2015,45 – 49,Male,472
2015,45 – 49,Female,388
2015,45 – 49,Both sexes,860
2015,50 – 54,Male,964
2015,50 – 54,Female,634
2015,50 – 54,Both sexes,1598
2015,55 – 59,Male,1536
2015,55 – 59,Female,829
2015,55 – 59,Both sexes,2365
2015,60 – 64,Male,1891
2015,60 – 64,Female,945
2015,60 – 64,Both sexes,2836
2015,65 – 69,Male,2257
2015,65 – 69,Female,1117
2015,65 – 69,Both sexes,3374
2015,70 – 74,Male,2331
2015,70 – 74,Female,1000
2015,70 – 74,Both sexes,3331
2015,75 – 79,Male,3520
2015,75 – 79,Female,2015
2015,75 – 79,Both sexes,5535
2015,80 – 84,Male,4538
2015,80 – 84,Female,3227
2015,80 – 84,Both sexes,7765
2015,85+,Male,6931
2015,85+,Female,9926
2015,85+,Both sexes,16857
2015,Total,Male,25367
2015,Total,Female,20741
2015,Total,Both sexes,46108
2016,0,Male,59
2016,0,Female,50
2016,0,Both sexes,109
2016,1 – 4,Male,21
2016,1 – 4,Female,18
2016,1 – 4,Both sexes,39
2016,5 – 9,Male,12
2016,5 – 9,Female,8
2016,5 – 9,Both sexes,20
2016,10 – 14,Male,11
2016,10 – 14,Female,10
2016,10 – 14,Both sexes,21
2016,15 – 19,Male,38
2016,15 – 19,Female,27
2016,15 – 19,Both sexes,65
2016,20 – 24,Male,71
2016,20 – 24,Female,38
2016,20 – 24,Both sexes,109
2016,25 – 29,Male,106
2016,25 – 29,Female,53
2016,25 – 29,Both sexes,159
2016,30 – 34,Male,145
2016,30 – 34,Female,88
2016,30 – 34,Both sexes,233
2016,35 – 39,Male,190
2016,35 – 39,Female,131
2016,35 – 39,Both sexes,321
2016,40 – 44,Male,294
2016,40 – 44,Female,251
2016,40 – 44,Both sexes,545
2016,45 – 49,Male,478
2016,45 – 49,Female,343
2016,45 – 49,Both sexes,821
2016,50 – 54,Male,910
2016,50 – 54,Female,608
2016,50 – 54,Both sexes,1518
2016,55 – 59,Male,1624
2016,55 – 59,Female,808
2016,55 – 59,Both sexes,2432
2016,60 – 64,Male,2044
2016,60 – 64,Female,1001
2016,60 – 64,Both sexes,3045
2016,65 – 69,Male,2489
2016,65 – 69,Female,1171
2016,65 – 69,Both sexes,3660
2016,70 – 74,Male,2418
2016,70 – 74,Female,1048
2016,70 – 74,Both sexes,3466
2016,75 – 79,Male,3502
2016,75 – 79,Female,1802
2016,75 – 79,Both sexes,5304
2016,80 – 84,Male,4470
2016,80 – 84,Female,3105
2016,80 – 84,Both sexes,7575
2016,85+,Male,7260
2016,85+,Female,10203
2016,85+,Both sexes,17463
2016,Total,Male,26142
2016,Total,Female,20763
2016,Total,Both sexes,46905
2017,0,Male,50
2017,0,Female,47
2017,0,Both sexes,97
2017,1 – 4,Male,15
2017,1 – 4,Female,11
2017,1 – 4,Both sexes,26
2017,5 – 9,Male,18
2017,5 – 9,Female,6
2017,5 – 9,Both sexes,24
2017,10 – 14,Male,15
2017,10 – 14,Female,10
2017,10 – 14,Both sexes,25
2017,15 – 19,Male,45
2017,15 – 19,Female,17
2017,15 – 19,Both sexes,62
2017,20 – 24,Male,71
2017,20 – 24,Female,46
2017,20 – 24,Both sexes,117
2017,25 – 29,Male,104
2017,25 – 29,Female,58
2017,25 – 29,Both sexes,162
2017,30 – 34,Male,115
2017,30 – 34,Female,84
2017,30 – 34,Both sexes,199
2017,35 – 39,Male,211
2017,35 – 39,Female,140
2017,35 – 39,Both sexes,351
2017,40 – 44,Male,314
2017,40 – 44,Female,220
2017,40 – 44,Both sexes,534
2017,45 – 49,Male,491
2017,45 – 49,Female,391
2017,45 – 49,Both sexes,882
2017,50 – 54,Male,903
2017,50 – 54,Female,629
2017,50 – 54,Both sexes,1532
2017,55 – 59,Male,1521
2017,55 – 59,Female,796
2017,55 – 59,Both sexes,2317
2017,60 – 64,Male,2033
2017,60 – 64,Female,1008
2017,60 – 64,Both sexes,3041
2017,65 – 69,Male,2489
2017,65 – 69,Female,1234
2017,65 – 69,Both sexes,3723
2017,70 – 74,Male,2456
2017,70 – 74,Female,1164
2017,70 – 74,Both sexes,3620
2017,75 – 79,Male,3268
2017,75 – 79,Female,1710
2017,75 – 79,Both sexes,4978
2017,80 – 84,Male,4294
2017,80 – 84,Female,3080
2017,80 – 84,Both sexes,7374
2017,85+,Male,7570
2017,85+,Female,10195
2017,85+,Both sexes,17765
2017,Total,Male,25983
2017,Total,Female,20846
2017,Total,Both sexes,46829
2018,0,Male,42
2018,0,Female,38
2018,0,Both sexes,80
2018,1 – 4,Male,11
2018,1 – 4,Female,15
2018,1 – 4,Both sexes,26
2018,5 – 9,Male,12
2018,5 – 9,Female,12
2018,5 – 9,Both sexes,24
2018,10 – 14,Male,16
2018,10 – 14,Female,10
2018,10 – 14,Both sexes,26
2018,15 – 19,Male,32
2018,15 – 19,Female,21
2018,15 – 19,Both sexes,53
2018,20 – 24,Male,75
2018,20 – 24,Female,34
2018,20 – 24,Both sexes,109
2018,25 – 29,Male,102
2018,25 – 29,Female,47
2018,25 – 29,Both sexes,149
2018,30 – 34,Male,119
2018,30 – 34,Female,89
2018,30 – 34,Both sexes,208
2018,35 – 39,Male,168
2018,35 – 39,Female,123
2018,35 – 39,Both sexes,291
2018,40 – 44,Male,329
2018,40 – 44,Female,237
2018,40 – 44,Both sexes,566
2018,45 – 49,Male,451
2018,45 – 49,Female,355
2018,45 – 49,Both sexes,806
2018,50 – 54,Male,840
2018,50 – 54,Female,596
2018,50 – 54,Both sexes,1436
2018,55 – 59,Male,1441
2018,55 – 59,Female,857
2018,55 – 59,Both sexes,2298
2018,60 – 64,Male,2101
2018,60 – 64,Female,1032
2018,60 – 64,Both sexes,3133
2018,65 – 69,Male,2555
2018,65 – 69,Female,1183
2018,65 – 69,Both sexes,3738
2018,70 – 74,Male,2683
2018,70 – 74,Female,1227
2018,70 – 74,Both sexes,3910
2018,75 – 79,Male,3229
2018,75 – 79,Female,1493
2018,75 – 79,Both sexes,4722
2018,80 – 84,Male,4338
2018,80 – 84,Female,3023
2018,80 – 84,Both sexes,7361
2018,85+,Male,7875
2018,85+,Female,10589
2018,85+,Both sexes,18464
2018,Total,Male,26419
2018,Total,Female,20981
2018,Total,Both sexes,47400
2019,0,Male,45
2019,0,Female,33
2019,0,Both sexes,78
2019,1 – 4,Male,16
2019,1 – 4,Female,11
2019,1 – 4,Both sexes,27
2019,5 – 9,Male,9
2019,5 – 9,Female,8
2019,5 – 9,Both sexes,17
2019,10 – 14,Male,13
2019,10 – 14,Female,15
2019,10 – 14,Both sexes,28
2019,15 – 19,Male,37
2019,15 – 19,Female,24
2019,15 – 19,Both sexes,61
2019,20 – 24,Male,53
2019,20 – 24,Female,30
2019,20 – 24,Both sexes,83
2019,25 – 29,Male,100
2019,25 – 29,Female,48
2019,25 – 29,Both sexes,148
2019,30 – 34,Male,136
2019,30 – 34,Female,91
2019,30 – 34,Both sexes,227
2019,35 – 39,Male,187
2019,35 – 39,Female,134
2019,35 – 39,Both sexes,321
2019,40 – 44,Male,323
2019,40 – 44,Female,216
2019,40 – 44,Both sexes,539
2019,45 – 49,Male,512
2019,45 – 49,Female,351
2019,45 – 49,Both sexes,863
2019,50 – 54,Male,847
2019,50 – 54,Female,590
2019,50 – 54,Both sexes,1437
2019,55 – 59,Male,1455
2019,55 – 59,Female,840
2019,55 – 59,Both sexes,2295
2019,60 – 64,Male,2226
2019,60 – 64,Female,1103
2019,60 – 64,Both sexes,3329
2019,65 – 69,Male,2648
2019,65 – 69,Female,1278
2019,65 – 69,Both sexes,3926
2019,70 – 74,Male,2924
2019,70 – 74,Female,1396
2019,70 – 74,Both sexes,4320
2019,75 – 79,Male,3117
2019,75 – 79,Female,1539
2019,75 – 79,Both sexes,4656
2019,80 – 84,Male,4210
2019,80 – 84,Female,2901
2019,80 – 84,Both sexes,7111
2019,85+,Male,8377
2019,85+,Female,11114
2019,85+,Both sexes,19491
2019,Total,Male,27235
2019,Total,Female,21722
2019,Total,Both sexes,48957
2020,0,Male,51
2020,0,Female,30
2020,0,Both sexes,81
2020,1 – 4,Male,13
2020,1 – 4,Female,18
2020,1 – 4,Both sexes,31
2020,5 – 9,Male,10
2020,5 – 9,Female,8
2020,5 – 9,Both sexes,18
2020,10 – 14,Male,17
2020,10 – 14,Female,13
2020,10 – 14,Both sexes,30
2020,15 – 19,Male,28
2020,15 – 19,Female,18
2020,15 – 19,Both sexes,46
2020,20 – 24,Male,58
2020,20 – 24,Female,32
2020,20 – 24,Both sexes,90
2020,25 – 29,Male,91
2020,25 – 29,Female,58
2020,25 – 29,Both sexes,149
2020,30 – 34,Male,111
2020,30 – 34,Female,65
2020,30 – 34,Both sexes,176
2020,35 – 39,Male,189
2020,35 – 39,Female,132
2020,35 – 39,Both sexes,321
2020,40 – 44,Male,282
2020,40 – 44,Female,197
2020,40 – 44,Both sexes,479
2020,45 – 49,Male,490
2020,45 – 49,Female,329
2020,45 – 49,Both sexes,819
2020,50 – 54,Male,797
2020,50 – 54,Female,578
2020,50 – 54,Both sexes,1375
2020,55 – 59,Male,1544
2020,55 – 59,Female,874
2020,55 – 59,Both sexes,2418
2020,60 – 64,Male,2180
2020,60 – 64,Female,1055
2020,60 – 64,Both sexes,3235
2020,65 – 69,Male,2727
2020,65 – 69,Female,1347
2020,65 – 69,Both sexes,4074
2020,70 – 74,Male,3113
2020,70 – 74,Female,1566
2020,70 – 74,Both sexes,4679
2020,75 – 79,Male,3256
2020,75 – 79,Female,1596
2020,75 – 79,Both sexes,4852
2020,80 – 84,Male,4202
2020,80 – 84,Female,3010
2020,80 – 84,Both sexes,7212
2020,85+,Male,8816
2020,85+,Female,11765
2020,85+,Both sexes,20581
2020,Total,Male,27975
2020,Total,Female,22691
2020,Total,Both sexes,50666
2021,0,Male,27
2021,0,Female,23
2021,0,Both sexes,50
2021,1 – 4,Male,13
2021,1 – 4,Female,13
2021,1 – 4,Both sexes,26
2021,5 – 9,Male,10
2021,5 – 9,Female,10
2021,5 – 9,Both sexes,20
2021,10 – 14,Male,20
2021,10 – 14,Female,15
2021,10 – 14,Both sexes,35
2021,15 – 19,Male,27
2021,15 – 19,Female,18
2021,15 – 19,Both sexes,45
2021,20 – 24,Male,62
2021,20 – 24,Female,22
2021,20 – 24,Both sexes,84
2021,25 – 29,Male,77
2021,25 – 29,Female,54
2021,25 – 29,Both sexes,131
2021,30 – 34,Male,114
2021,30 – 34,Female,74
2021,30 – 34,Both sexes,188
2021,35 – 39,Male,169
2021,35 – 39,Female,101
2021,35 – 39,Both sexes,270
2021,40 – 44,Male,265
2021,40 – 44,Female,210
2021,40 – 44,Both sexes,475
2021,45 – 49,Male,495
2021,45 – 49,Female,382
2021,45 – 49,Both sexes,877
2021,50 – 54,Male,766
2021,50 – 54,Female,550
2021,50 – 54,Both sexes,1316
2021,55 – 59,Male,1405
2021,55 – 59,Female,860
2021,55 – 59,Both sexes,2265
2021,60 – 64,Male,2165
2021,60 – 64,Female,1131
2021,60 – 64,Both sexes,3296
2021,65 – 69,Male,2830
2021,65 – 69,Female,1355
2021,65 – 69,Both sexes,4185
2021,70 – 74,Male,3360
2021,70 – 74,Female,1580
2021,70 – 74,Both sexes,4940
2021,75 – 79,Male,3181
2021,75 – 79,Female,1657
2021,75 – 79,Both sexes,4838
2021,80 – 84,Male,4136
2021,80 – 84,Female,2859
2021,80 – 84,Both sexes,6995
2021,85+,Male,9210
2021,85+,Female,12108
2021,85+,Both sexes,21318
2021,Total,Male,28332
2021,Total,Female,23022
2021,Total,Both sexes,51354
