Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
G_B_HKR,Bridegrooms/brides are Hong Kong residents and brides/bridegrooms are from the Mainland,新郎/新娘為香港人而新娘/新郎為內地人
M_HK_cross_b_marri,Mainland-Hong Kong cross-boundary marriages,內地與香港跨境婚姻
No_of_marri,Number of marriages,婚姻數目
