Yr,Age_gp,live_births_w,Index_rate_w
1992,45 – 49,0.3,103
1993,45 – 49,0.3,115
1994,45 – 49,0.2,86
1995,45 – 49,0.2,96
1996,45 – 49,0.2,78
1997,45 – 49,0.3,112
1998,45 – 49,0.2,95
1999,45 – 49,0.3,98
2000,45 – 49,0.2,95
2001,45 – 49,0.2,72
2002,45 – 49,0.2,94
2003,45 – 49,0.2,83
2004,45 – 49,0.2,91
2005,45 – 49,0.3,104
2006,45 – 49,0.3,115
2007,45 – 49,0.3,131
2008,45 – 49,0.4,161
2009,45 – 49,0.4,135
2010,45 – 49,0.3,128
2011,45 – 49,0.4,157
2012,45 – 49,0.4,166
2013,45 – 49,0.5,201
2014,45 – 49,0.6,224
2015,45 – 49,0.6,223
2016,45 – 49,0.7,253
2017,45 – 49,0.7,255
2018,45 – 49,0.8,291
2019,45 – 49,0.7,287
2020,45 – 49,0.6,225
2021,45 – 49,0.4,165
