Value descriptions,,
Variable,Value_eng,Value_chi
Yr,1991,1991
Yr,2021,2021
Sex,Male,男
Sex,Female,女
Sex,Difference,相差
Age_gp_males,30 – 34,30 – 34
Age_gp_males,35 – 39,35 – 39
Age_gp_males,40 – 44,40 – 44
Age_gp_males,45 – 49,45 – 49
