Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Age_gp,Age group,年齡組別
live_births,Number of live births per 1 000 married women,每千名已婚女性的活產嬰兒數目
Index_rate,Index of rate,比率指數
