Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Sex,Sex,性別
Age_gp_males,Age group of males (Never married males aged 30 – 49 compared with never married females 2 years younger by males’ age group),男性的年齡組別 (按男性的年齡組別劃分的30至49歲從未結婚的男性人口與較其年輕2年從未結婚的女性人口比較)
No_of_persons,Number of persons,人數
