Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Sex,Sex,性別
Age,Age,年齡
Exp_of_life,Expectation of life,平均預期壽命
Increase,Increase (in number of years),增長（按年數計）
