Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Gross_reprod_r,Gross reproduction rate (Number of female live births per 1 000 women),粗再生產率（每千名女性的活產女嬰數目）
Net_reprod_r,Net reproduction rate (Number of female live births per 1 000 women),淨再生產率（每千名女性的活產女嬰數目）
