Yr,Month_of_birth,No_of_live_births
2021,4,2832
2021,5,2864
2021,6,3001
2021,7,3044
2021,8,3072
2021,9,3182
2021,10,3246
2021,11,3214
2021,12,3094
2021,Total,36953
