Value descriptions,,
Variable,Value_eng,Value_chi
Mother_yr_b,1936,1936
Mother_yr_b,1941,1941
Mother_yr_b,1946,1946
Mother_yr_b,1951,1951
Mother_yr_b,1956,1956
Mother_yr_b,1961,1961
Mother_yr_b,1966,1966
Mother_yr_b,1971,1971
Mother_yr_b,1976,1976
Mother_yr_b,1981,1981
Mother_yr_b,1986,1986
Mother_yr_b,1991,1991
Mother_yr_b,1996,1996
Mother_yr_b,2001,2001
Age,15 to before attaining 20,15至未滿20歲
Age,15 to before attaining 25,15至未滿25歲
Age,15 to before attaining 30,15至未滿30歲
Age,15 to before attaining 35,15至未滿35歲
Age,15 to before attaining 40,15至未滿40歲
Age,15 to before attaining 45,15至未滿45歲
Age,15 to before attaining 50,15至未滿50歲
