Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Type_of_marri,Type of marriage,婚姻類別
No_of_marri,Number of marriages,結婚數目
No_of_divorce,Number of divorce decrees granted,獲頒布離婚令數目
