Field descriptions,,
Variable,Description_eng,Description_chi
Yr_of_birth,Year of birth,出生年份
Age,Age,年齡
Fert_rates,"Fertility rates (Number of live births per 1 000 women, § Less than 0.05)","生育率（每千名女性的活產嬰兒數目, § 少於0.05）"
