Field descriptions,,
Variable,Description_eng,Description_chi
Mid-yr,Mid-year,年中
Ref_time_pt,Reference time-point,統計時點
Components,Components,組成部分
Pop_size,Population size,人口數目
Pop_growth_r,Population growth rate (%),人口增長率
