Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Sex,Sex,性別
Marital_status,Marital status,婚姻狀況
Number,Number,數目
Percentage_excl_fdh,Percentage,百分比
Percentage_21stand_excl_fdh,Percentage (using the structure of the 2021 Population Census as standard),百分比（根據2021年人口普查分布情況作為標準）
