Field descriptions,,
Variable,Description_eng,Description_chi
Age_diff,Age difference,年齡差異
Yr_of_age_diff,Year(s) of age difference,年齡差異（年）
Yr,Year,年
No_of_1st_marri,Number of first marriages,初婚數目
