Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Sex,Sex,性別
Age_gp,Age group,年齡組別
Edu_attainment,Educational attainment,教育程度
Percent_never_marri,Percentage of never married population,從未結婚人口百分比
