Field descriptions,,
Variable,Description_eng,Description_chi
Ref_period,Reference period,統計期間
Live_births_HK,Number of live births in Hong Kong,香港出生的活產嬰兒數目
Mainland_w_spouses,Mainland women whose spouses,內地女性的配偶
Live_births_mainland_w,Number of live births born in Hong Kong to Mainland women,內地女性在香港所生的活產嬰兒數目
