Yr,Age_brides,Age_bgrooms,Per_first_marri
2006,40+,35 – 39,0.3
2006,40+,40+,1.4
2006,40+,Total,1.9
2006,Total,16 – 19,0.8
2006,Total,20 – 24,11
2006,Total,25 – 29,32
2006,Total,30 – 34,33.1
2006,Total,35 – 39,13.7
2006,Total,40+,9.4
2006,Total,Total,100
2011,16 – 19,16 – 19,0.2
2011,16 – 19,20 – 24,0.8
2011,16 – 19,25 – 29,0.4
2011,16 – 19,30 – 34,0.1
2011,16 – 19,35 – 39,0.1
2011,16 – 19,40+,§
2011,16 – 19,Total,1.7
2011,20 – 24,16 – 19,0.2
2011,20 – 24,20 – 24,7
2011,20 – 24,25 – 29,7.3
2011,20 – 24,30 – 34,2.8
2011,20 – 24,35 – 39,1.2
2011,20 – 24,40+,0.6
2011,20 – 24,Total,19.2
2011,25 – 29,16 – 19,§
2011,25 – 29,20 – 24,1.6
2011,25 – 29,25 – 29,21.2
2011,25 – 29,30 – 34,14.3
2011,25 – 29,35 – 39,3.9
2011,25 – 29,40+,1.8
2011,25 – 29,Total,42.9
2011,30 – 34,16 – 19,§
2011,30 – 34,20 – 24,0.2
2011,30 – 34,25 – 29,3.5
2011,30 – 34,30 – 34,15.1
2011,30 – 34,35 – 39,6
2011,30 – 34,40+,2.3
2011,30 – 34,Total,27.1
2011,35 – 39,16 – 19,§
2011,35 – 39,20 – 24,§
2011,35 – 39,25 – 29,0.3
2011,35 – 39,30 – 34,1.4
2011,35 – 39,35 – 39,3.1
2011,35 – 39,40+,2.2
2011,35 – 39,Total,7
2011,40+,16 – 19,§
2011,40+,20 – 24,§
2011,40+,25 – 29,0.1
2011,40+,30 – 34,0.1
2011,40+,35 – 39,0.3
2011,40+,40+,1.7
2011,40+,Total,2.2
2011,Total,16 – 19,0.4
2011,Total,20 – 24,9.7
2011,Total,25 – 29,32.8
2011,Total,30 – 34,33.9
2011,Total,35 – 39,14.5
2011,Total,40+,8.6
2011,Total,Total,100
2016,16 – 19,16 – 19,0.2
2016,16 – 19,20 – 24,0.7
2016,16 – 19,25 – 29,0.3
2016,16 – 19,30 – 34,0.1
2016,16 – 19,35 – 39,§
2016,16 – 19,40+,§
2016,16 – 19,Total,1.3
2016,20 – 24,16 – 19,0.2
2016,20 – 24,20 – 24,5.6
2016,20 – 24,25 – 29,6.4
2016,20 – 24,30 – 34,2.2
2016,20 – 24,35 – 39,0.6
2016,20 – 24,40+,0.3
2016,20 – 24,Total,15.2
2016,25 – 29,16 – 19,§
2016,25 – 29,20 – 24,1.9
2016,25 – 29,25 – 29,21.5
2016,25 – 29,30 – 34,14.5
2016,25 – 29,35 – 39,3.5
