Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Econ,Economy,經濟體
Stat_var,Statistical variable,統計變數
Fert_r,Fertility rates (Number of live births per 1 000 women),生育率（每千名女性的活產嬰兒數目）
