Field descriptions,,
Variable,Description_eng,Description_chi
Yr,Year,年
Dur_marr_mo,Duration of marriage of mother,母親已婚年數
No_live_births,Number of live births,活產嬰兒數目
Per_live_births,Percentages of live births,活產嬰兒百分比
