Value descriptions,,
Variable,Value_eng,Value_chi
Mid-yr,1991,1991
Mid-yr,1992,1992
Mid-yr,1993,1993
Mid-yr,1994,1994
Mid-yr,1995,1995
Mid-yr,1996,1996
Mid-yr,1997,1997
Mid-yr,1998,1998
Mid-yr,1999,1999
Mid-yr,2000,2000
Mid-yr,2001,2001
Mid-yr,2002,2002
Mid-yr,2003,2003
Mid-yr,2004,2004
Mid-yr,2005,2005
Mid-yr,2006,2006
Mid-yr,2007,2007
Mid-yr,2008,2008
Mid-yr,2009,2009
Mid-yr,2010,2010
Mid-yr,2011,2011
Mid-yr,2012,2012
Mid-yr,2013,2013
Mid-yr,2014,2014
Mid-yr,2015,2015
Mid-yr,2016,2016
Mid-yr,2017,2017
Mid-yr,2018,2018
Mid-yr,2019,2019
Mid-yr,2020,2020
Mid-yr,2021,2021
Ref_time_pt,Compared with the previous  reference time-point,與上一統計時點比較
Ref_time_pt,From the previous reference time-point to this reference time-point,由上一統計時點至本統計時點
Components,Population growth,人口增長
Components,Population growth rate (%),人口增長率
Components,Births,出生人數
Components,Deaths,死亡人數
Components,Natural change,自然變動
Components,Net movement,淨遷移
